id,nume_ro,nume_en,categorie,stare_preparare,kcal,proteine_g,carbohidrati_g,grasimi_g,fibre_g,zaharuri_g,grasimi_saturate_g,sodiu_mg,portii,stare,sursa_tip,sursa_referinta,sursa_url,sursa_licenta,sursa_versiune,preluat_la,tara,note
ou-intreg-crud,"Ou de găină, întreg, crud","Egg, whole, raw, fresh",oua,crud,143.0,12.56,0.72,9.51,0.0,0.37,3.126,142.0,1 ou mediu = 44.0 g; 1 ou mare = 243.0 g; 1 ou foarte mare = 56.0 g,verificat,usda,"FDC ID 171287: Egg, whole, raw, fresh",https://fdc.nal.usda.gov/food-details/171287/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,"Valori pentru conținut, fără coajă."
ou-fiert-tare,"Ou de găină, fiert tare","Egg, whole, cooked, hard-boiled",oua,gatit,155.0,12.58,1.12,10.61,0.0,1.12,3.267,124.0,1 ou mare = 50.0 g,verificat,usda,"FDC ID 173424: Egg, whole, cooked, hard-boiled",https://fdc.nal.usda.gov/food-details/173424/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
piept-de-pui-fara-piele-crud,"Piept de pui, fără piele și os, crud","Chicken, breast, skinless, boneless, meat only, raw",carne,crud,120.0,22.5,0.0,2.62,0.0,0.0,0.563,45.0,1 bucată (jumătate de piept) = 272.0 g,verificat,usda,"FDC ID 171077: Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",https://fdc.nal.usda.gov/food-details/171077/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
piept-de-pui-fara-piele-la-gratar,"Piept de pui, fără piele și os, gătit la grătar","Chicken, breast, skinless, boneless, meat only, cooked, grilled",carne,gatit,151.0,30.54,0.0,3.17,0.0,0.0,0.992,52.0,1 bucată (jumătate de piept) = 196.0 g,verificat,usda,"FDC ID 171534: Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled",https://fdc.nal.usda.gov/food-details/171534/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
orez-alb-fiert,"Orez alb cu bob lung, fiert","Rice, white, long-grain, regular, enriched, cooked",cereale-si-derivate,gatit,130.0,2.69,28.17,0.28,0.4,0.05,0.077,1.0,1 cană (fiert) = 158.0 g,verificat,usda,"FDC ID 168878: Rice, white, long-grain, regular, enriched, cooked",https://fdc.nal.usda.gov/food-details/168878/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Fișa USDA este pentru orez îmbogățit (practică din SUA); energia și macronutrienții nu diferă semnificativ de orezul neîmbogățit.
cartofi-fierti-in-coaja,"Cartofi fierți în coajă, pulpă, fără sare","Potatoes, boiled, cooked in skin, flesh, without salt",legume,gatit,87.0,1.87,20.13,0.1,1.8,0.91,0.026,4.0,1 cartof mediu = 136.0 g,verificat,usda,"FDC ID 170438: Potatoes, boiled, cooked in skin, flesh, without salt",https://fdc.nal.usda.gov/food-details/170438/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
banane-crude,"Banane, crude","Bananas, raw",fructe,crud,89.0,1.09,22.84,0.33,2.6,12.23,0.112,1.0,1 banană medie = 118.0 g; 1 banană mare = 152.0 g,verificat,usda,"FDC ID 173944: Bananas, raw",https://fdc.nal.usda.gov/food-details/173944/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
mere-crude-cu-coaja,"Mere, crude, cu coajă","Apples, raw, with skin",fructe,crud,52.0,0.26,13.81,0.17,2.4,10.39,0.028,1.0,1 măr mic = 149.0 g; 1 măr mediu = 182.0 g; 1 măr mare = 223.0 g,verificat,usda,"FDC ID 171688: Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",https://fdc.nal.usda.gov/food-details/171688/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
lapte-integral-3-25,"Lapte integral, 3,25% grăsime","Milk, whole, 3.25% milkfat",lactate,asa-cum-se-consuma,61.0,3.15,4.8,3.25,0.0,5.05,1.865,43.0,1 cană (244 ml) = 244.0 g,verificat,usda,"FDC ID 171265: Milk, whole, 3.25% milkfat, with added vitamin D",https://fdc.nal.usda.gov/food-details/171265/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Fișa USDA este pentru lapte cu vitamina D adăugată; nu afectează energia sau macronutrienții.
lapte-1-grasime,"Lapte, 1% grăsime","Milk, fluid, 1% fat",lactate,asa-cum-se-consuma,42.0,3.37,4.99,0.97,0.0,5.2,0.633,44.0,1 cană (244 ml) = 244.0 g,verificat,usda,"FDC ID 173441: Milk, fluid, 1% fat, without added vitamin A and vitamin D",https://fdc.nal.usda.gov/food-details/173441/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
iaurt-grecesc-simplu-grasime-redusa,"Iaurt grecesc, simplu, cu grăsime redusă","Yogurt, Greek, plain, lowfat",lactate,asa-cum-se-consuma,73.0,9.95,3.94,1.92,0.0,3.56,1.23,34.0,1 recipient (200 g) = 200.0 g,verificat,usda,"FDC ID 170903: Yogurt, Greek, plain, lowfat",https://fdc.nal.usda.gov/food-details/170903/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Nu este iaurt grecesc integral (10% grăsime); pentru acela e nevoie de altă fișă.
iaurt-simplu-lapte-integral,"Iaurt simplu, din lapte integral","Yogurt, plain, whole milk",lactate,asa-cum-se-consuma,61.0,3.47,4.66,3.25,0.0,4.66,2.096,46.0,1 recipient mic (113 g) = 113.0 g; 1 recipient (170 g) = 170.0 g,verificat,usda,"FDC ID 171284: Yogurt, plain, whole milk",https://fdc.nal.usda.gov/food-details/171284/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
fulgi-de-ovaz-uscati,"Fulgi de ovăz, uscați","Oats, regular and quick, not fortified, dry",cereale-si-derivate,crud,379.0,13.15,67.7,6.52,10.1,0.99,1.11,6.0,1 cană = 81.0 g,verificat,usda,"FDC ID 173904: Cereals, oats, regular and quick, not fortified, dry",https://fdc.nal.usda.gov/food-details/173904/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,"Valori pentru produsul uscat, înainte de preparare."
ulei-de-masline,Ulei de măsline,"Oil, olive, salad or cooking",grasimi-si-uleiuri,asa-cum-se-consuma,884.0,0.0,0.0,100.0,0.0,0.0,13.808,2.0,1 lingură = 13.5 g; 1 linguriță = 4.5 g,verificat,usda,"FDC ID 171413: Oil, olive, salad or cooking",https://fdc.nal.usda.gov/food-details/171413/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
unt-sarat,"Unt, sărat","Butter, salted",grasimi-si-uleiuri,asa-cum-se-consuma,717.0,0.85,0.06,81.11,0.0,0.06,51.368,643.0,1 pachet (113 g) = 113.0 g,verificat,usda,"FDC ID 173410: Butter, salted",https://fdc.nal.usda.gov/food-details/173410/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
paine-alba,Pâine albă,"Bread, white, commercially prepared",paine-si-produse-de-panificatie,asa-cum-se-consuma,266.0,8.85,49.42,3.33,2.7,5.67,0.698,490.0,1 felie = 29.0 g,verificat,usda,"FDC ID 174924: Bread, white, commercially prepared (includes soft bread crumbs)",https://fdc.nal.usda.gov/food-details/174924/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
linte-fiarta,"Linte, fiartă, fără sare","Lentils, mature seeds, cooked, boiled, without salt",leguminoase,gatit,116.0,9.02,20.13,0.38,7.9,1.8,0.053,2.0,1 cană (fiartă) = 198.0 g,verificat,usda,"FDC ID 172421: Lentils, mature seeds, cooked, boiled, without salt",https://fdc.nal.usda.gov/food-details/172421/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
naut-fiert,"Năut, fiert, fără sare","Chickpeas, mature seeds, cooked, boiled, without salt",leguminoase,gatit,164.0,8.86,27.42,2.59,7.6,4.8,0.269,7.0,1 cană (fiert) = 164.0 g,verificat,usda,"FDC ID 173757: Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",https://fdc.nal.usda.gov/food-details/173757/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
rosii-crude,"Roșii, crude","Tomatoes, red, ripe, raw, year round average",legume,crud,18.0,0.88,3.89,0.2,1.2,2.63,0.028,5.0,1 roșie medie = 123.0 g; 1 roșie mare = 182.0 g; 1 felie medie = 20.0 g,verificat,usda,"FDC ID 170457: Tomatoes, red, ripe, raw, year round average",https://fdc.nal.usda.gov/food-details/170457/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
branza-feta,Brânză feta,"Cheese, feta",lactate,asa-cum-se-consuma,265.0,14.21,3.88,21.49,0.0,0.0,13.3,1139.0,,verificat,usda,"FDC ID 173420: Cheese, feta",https://fdc.nal.usda.gov/food-details/173420/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Feta nu este telemea; valorile telemelei românești diferă și cer altă sursă.
nuci-miez,"Nuci, miez","Nuts, walnuts, english",nuci-si-seminte,asa-cum-se-consuma,654.0,15.23,13.71,65.21,6.7,2.61,6.126,2.0,"1 cană, tocate = 117.0 g",verificat,usda,"FDC ID 170187: Nuts, walnuts, english",https://fdc.nal.usda.gov/food-details/170187/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
migdale,Migdale,"Nuts, almonds",nuci-si-seminte,asa-cum-se-consuma,579.0,21.15,21.55,49.93,12.5,4.35,3.802,1.0,"1 migdală = 1.2 g; 1 cană, întregi = 143.0 g",verificat,usda,"FDC ID 170567: Nuts, almonds",https://fdc.nal.usda.gov/food-details/170567/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
paste-uscate,"Paste, uscate","Pasta, dry, unenriched",cereale-si-derivate,crud,371.0,13.04,74.67,1.51,3.2,2.67,0.277,6.0,,verificat,usda,"FDC ID 168927: Pasta, dry, unenriched",https://fdc.nal.usda.gov/food-details/168927/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,"Valori pentru produsul uscat, înainte de fierbere."
paste-fierte,"Paste, fierte, fără sare","Pasta, cooked, unenriched, without added salt",cereale-si-derivate,gatit,158.0,5.8,30.86,0.93,1.8,0.56,0.176,1.0,"1 cană (penne, fierte) = 107.0 g",verificat,usda,"FDC ID 168928: Pasta, cooked, unenriched, without added salt",https://fdc.nal.usda.gov/food-details/168928/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
somon-de-crescatorie-crud,"Somon de Atlantic, de crescătorie, crud","Fish, salmon, Atlantic, farmed, raw",peste-si-fructe-de-mare,crud,208.0,20.42,0.0,13.42,0.0,0.0,3.05,59.0,1 file = 198.0 g,verificat,usda,"FDC ID 175167: Fish, salmon, Atlantic, farmed, raw",https://fdc.nal.usda.gov/food-details/175167/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
